"k","mean_precision_at_k","mean_recall_at_k","mean_hit_rate_at_k","mean_ndcg_at_k"
1,0.94,0.18799999999999997,0.94,0.94
2,0.51,0.204,0.98,0.6150436419229851
3,0.3666666666666666,0.21999999999999997,0.98,0.4988869171193431
4,0.285,0.22799999999999998,0.98,0.4284604917678641
5,0.23599999999999993,0.23599999999999993,0.98,0.38536480748571944
6,0.19999999999999996,0.23999999999999996,0.98,0.3974459377556689
7,0.17142857142857137,0.23999999999999996,0.98,0.4019680738259838
8,0.1575,0.25199999999999995,1.0,0.4126673870627102
9,0.14,0.25199999999999995,1.0,0.41675128286762664
10,0.12999999999999998,0.25999999999999995,1.0,0.4206728543008809
11,0.11818181818181818,0.25999999999999995,1.0,0.4244571081691475
12,0.10999999999999999,0.264,1.0,0.4262901887277141
13,0.10615384615384615,0.27599999999999997,1.0,0.43341661034517287
14,0.09999999999999998,0.28,1.0,0.4386252569193286
15,0.09466666666666666,0.284,1.0,0.4437126599984328
16,0.08875,0.284,1.0,0.4486912036835399
17,0.08352941176470587,0.284,1.0,0.45357129440684507
18,0.0788888888888889,0.284,1.0,0.4551681211144584
19,0.07473684210526316,0.284,1.0,0.4551681211144584
20,0.073,0.292,1.0,0.4582567886457686
